axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11891604,0.01600,5,dc:bob36#2630 | Axie Bob Shop,0.01600,0.00000,0
11872743,0.02000,4,dc:bob36#2630 | Axie Bob Shop,0.02000,0.00000,0
