axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11268521,0.01000,3,Yashagoro,0.01000,0.00000,0
10899429,0.01189,4,dc:bob36#2630 | Axie Bob Shop,0.01189,0.00000,0
10875947,0.01200,5,Danc3r | Avila E-sports.gg,0.01200,0.00000,0
11107181,0.03000,3,HinchaRC | SURA,0.03000,0.00000,0
