id,currentPrice,basePrice,endedPrice,duration,breedCount,speed,hp,morale,ownerProfile,birthDate,transferHistory,genes,bodyShape,owner,name
11149945,0.00836,0.00836,0.00000,0000,0,52,44,33,Lunacia Ruin 1,2022-02-11 12:57:00 UTC,5,0x40000000067813301080090a102110c2106231080080210804c1314410240882,Normal,0x361b13d88e2fc5f702e0b05cd56109a2439324a1,EYYYY
11131894,0.00950,0.00950,0.00000,0000,0,52,44,33,AHHHH,2022-02-09 15:07:02 UTC,1,0x400000001e79e242104228ca1025094a108309440085310c04c4104c10203146,Curly,0x0e0c156523514205b2408b6565868c42db625c79,Axie #11131894
11220400,0.01000,0.01000,0.00000,0000,2,52,44,33,RK,2022-02-23 09:27:32 UTC,0,0x400000001e0c92241045090a102420c4106028820080210a04c2084c10240902,Curly,0xba063c9c91488137a1512e0860213e0d26e9dce1,accepting .008 offer only
11211386,0.01000,0.01000,0.00000,0000,0,52,44,33,AHHHH,2022-02-21 19:23:16 UTC,1,0x40000000068480121024110410242102106418840080200804c5088210240902,Normal,0x0e0c156523514205b2408b6565868c42db625c79,ALBINO
11878228,0.01000,0.01000,0.00000,0000,0,52,44,33,CP-9,2023-09-22 18:32:42 UTC,0,0x400000000a78822110441104102009081024210a0080210c04c1300c1024080a,Normal,0xe55b4b7e3bc0276ca3db781da37c8b00d8c2ec9b,Axie #11878228S
11211375,0.01200,0.01200,0.00000,0000,2,52,44,33,karllrak04,2022-02-21 19:17:10 UTC,3,0x40000000080c13021040210410242902102409080080200a04c2084c10240902,Normal,0x888e68155dd1bef8368b24d87ddcc9c74760fe8c,Pockyy
11048395,0.01200,0.01200,0.00000,0000,5,52,44,33,John claire,2022-01-31 05:10:32 UTC,5,0x400000001e19e131104009041024290a108228040080200804c1308210240888,Curly,0x35154925dc2283ba0d152484085b0594c1a146e5,Shield breaker max speed
11276269,0.03000,0.03000,0.00000,0000,0,52,44,33,Lunacian #21801622,2022-03-13 10:47:58 UTC,0,0x400000001e1a1322104410441024090a106421080083300804c2084c10240902,Curly,0x1906ee473b4ed6f0d672df2173f0ee57cb533940,Axie #11276269
10477042,0.11000,0.11000,0.00000,0000,4,52,44,33,Limeberg,2021-12-20 15:46:22 UTC,0,0x40000000080c3433104410c81024214a108409020080200804c1310810240902,Normal,0x44f52abd57311c65606fca4c72f0ce24dd6331c1,C_03
