id,currentPrice,basePrice,endedPrice,duration,breedCount,speed,hp,morale,ownerProfile,birthDate,transferHistory,genes,bodyShape,owner,name
10897473,0.00300,0.00300,0.00000,0000,5,55,42,32,Thank you boss🙏,2022-01-18 16:06:48 UTC,1,0x4000000006786333084409041024108210c230c60081088c0822088210240902,Normal,0x04ec8ac1daec6c793bf76f0d3e6e47fd3ba49826,Max speed
11188790,0.00498,0.00498,0.00000,0000,1,55,42,32,Small Bear,2022-02-17 11:53:24 UTC,2,0x400000000c788220104110421024090808642086008020080822088210212102,Normal,0x1994aaee449c3f9c351cd2c3412cdcd4316129c6,1
11011848,0.00530,0.00530,0.00000,0000,4,55,43,31,Edeshiii,2022-01-27 15:43:10 UTC,1,0x40000000063033221080288210202102102009060082284c0822088210240902,Normal,0x16559beb78d2dc19c3d2da944d54639ed1b37888,MAX STATS
10986238,0.00550,0.00550,0.00000,0000,3,55,42,32,<#AEF359> SJ | Skad,2022-01-25 14:01:20 UTC,2,0x400000000678633210440844102410c808c4210c0080208c08202082102408c8,Normal,0xe54c9c1e2955a542bdb7b964ab45572d63a65039,C2
11282196,0.00580,0.00580,0.00000,0000,4,55,43,31,CP-9,2022-03-16 04:02:04 UTC,1,0x4000000008208323104411041024090210440902008020080822088210240902,Normal,0xe55b4b7e3bc0276ca3db781da37c8b00d8c2ec9b,Axie #11282196
11872528,0.00580,0.00580,0.00000,0000,4,55,43,31,CP-9,2023-09-16 12:36:48 UTC,0,0x400000000a7860311044110a102409021062310a0080210c0822090610240902,Normal,0xe55b4b7e3bc0276ca3db781da37c8b00d8c2ec9b,Axie #11872528
11885423,0.00600,0.00600,0.00000,0000,0,55,43,31,CP-9,2023-09-29 07:32:06 UTC,0,0x400000000320800210412048102311021064090a0080200c0822084c10240902,Normal,0xe55b4b7e3bc0276ca3db781da37c8b00d8c2ec9b,Axie #11885423B
11264905,0.00600,0.00600,0.00000,0000,1,55,43,31,Jomz Kie Battles,2022-03-08 02:32:47 UTC,2,0x400000000804830210441104102428c210241904008020080823188210242902,Normal,0xceea3d467e534846d3890640b11129b1d125dbcb,Pocky Nang Ina
10041535,0.00740,0.00740,0.00000,0000,4,55,43,31,Xiabrytcel,2021-12-04 22:48:52 UTC,1,0x400000000828331110441104102421081080210c008020060822084c10240902,Normal,0x80f71ac71031a3276237b16d479f7105d36339ad,🐟 FISH POCKY 🎈
11162350,0.00750,0.00750,0.00000,0000,0,55,43,31,TheTroton,2022-02-13 02:48:16 UTC,1,0x40000000080cc3331082090410240902102418020080204c0825190610240902,Normal,0x7a0051a5e0993c247051522a6c36a83d6c4af6a6,Axie #11162350
10725270,0.00772,0.00772,0.00000,0000,5,55,43,31,Alfa,2022-01-06 00:48:43 UTC,1,0x400000001e186220104411441024210210c4208c0080208a0822094610240902,Curly,0x8c9754b2133d1f562bb886f2bce0da04946dcaeb,⚡
11044794,0.00900,0.00900,0.00000,0000,2,55,42,32,Lunfa | Huru #3841,2022-01-30 21:06:53 UTC,2,0x400000000a306200084109041024290410440908008020080825208210240902,Normal,0x355b05988fe1a119887bf9f79971f91202aeae8b,...........
10697543,0.00980,0.00980,0.00000,0000,3,55,43,31,xKami ,2022-01-04 06:10:50 UTC,0,0x400000000c3063221044110410240942106110c80084190c082510821024084c,Normal,0xe80d20df16520eb45e5c8e1b6b669efba31dd158,richard
11230925,0.00999,0.02000,0.00999,0024,1,55,43,31,Cryptowriter,2022-02-25 18:19:10 UTC,0,0x400000001e78c0311044110410240942106418460084190608220882102408c4,Curly,0x452f68d62d3608d5ba9d48f2bc1044513f6cde6e,1
11275695,0.01000,0.01000,0.00000,0000,0,55,43,31,Rab.,2022-03-13 03:58:22 UTC,1,0x400000000618c1231024108a1024290a1064184c008528040820208210223102,Normal,0x20350452282b92b1c0d2b130498ad7b9ab2ccdb6,BLACM MAMBA
10932017,0.01000,0.01000,0.00000,0000,6,55,43,31,Axi Doppler Team | | #9,2022-01-21 06:29:53 UTC,0,0x400000001e04623010441148102428c8102409020082180808220904102408ca,Curly,0x198db9494dd3255407377c12c5b30c3ed6417ed7,Axie #10932017
11056449,0.01000,0.01000,0.00000,0000,5,55,43,31,Metallback,2022-02-01 00:32:27 UTC,0,0x4000000008208000104429041024208410241906008020080822088210240902,Normal,0xcc064baead54d313d796b1c29911c3fe2b50ea5b,Axie #11056449
11037511,0.01000,0.01000,0.00000,0000,4,55,43,31,JWONG|AXIE,2022-01-30 02:10:29 UTC,0,0x400000000c29e30210442904102409081022310a00802044082208ca10240946,Normal,0x4b1ab71a51a44779d20657b5933741bdcff2dba6,Pennywise
10913004,0.01053,0.01053,0.00000,0000,6,55,43,31,Yunior,2022-01-19 19:55:15 UTC,1,0x400000000c20c202102021041024290a108409060080210c0822088210240902,Normal,0x7a667b293c2193cf74cb686ec7acaad658035b5a,Rush 
11314963,0.01573,0.01573,0.00000,0000,1,55,42,32,Jholo,2022-04-27 15:26:46 UTC,0,0x400000001e303032084521041020214a10840902008020080822088210240902,Curly,0xea27598769e57bf88120e661e87e4bf324d5dfc5,Axie #11314963
10915237,0.01600,0.01600,0.00000,0000,5,55,43,31,IV. TheGoose Esports,2022-01-20 00:23:12 UTC,0,0x400000000625e221104311041021200410642906008020080822084c1024088c,Normal,0x28f631b24c0c18d7115a18d04ee0d27f6ea1b860,Aqua Origins Leaderboards
11101405,0.01600,0.01600,0.00000,0000,2,55,43,31,IV. TheGoose Esports,2022-02-05 22:38:03 UTC,0,0x40000000210ca32310441102102029441064180a0080310a0822088210222102,WetDog,0x28f631b24c0c18d7115a18d04ee0d27f6ea1b860,V2 AquaPocky
11113776,0.01700,0.01700,0.00000,0000,5,55,43,31,PechKeeks,2022-02-07 12:39:07 UTC,3,0x40000000030c632310441104102429081084080a008020080822080a10240902,Normal,0xa5b2aba682c0f7990e4b861812bcabca6cbc79f6,Squibbles
11100943,0.01883,0.01883,0.00000,0000,4,55,42,32,Kado,2022-02-05 21:06:24 UTC,0,0x400000000a18300008a208841024090810841084008020080822088210240902,Normal,0x1887852769553c359e420b0a5ed8f21dd3e4ca49,TOP AUQA META BACKLINE
11188791,0.01900,0.01900,0.00000,0000,0,55,42,32,HOLGER PALACIOS CHOGAS,2022-02-17 11:53:48 UTC,0,0x40000000060e122308a428021024090210842142008020080822300a1024084a,Normal,0x0b245cd53ced3112894f1015f01b84c9d654934c,93
10637427,0.01900,0.01900,0.00000,0000,5,55,42,32,Magical Mystic Gnolls,2021-12-30 20:13:25 UTC,0,0x400000000820a02008a41104102408ca108419080082190a0822088210240944,Normal,0x0209b2f86dfcab7a13b85077e1e84bfecc7c0712,Axie #10637427
11236134,0.02000,0.02000,0.00000,0000,0,55,43,31,#Puchus#,2022-02-27 00:32:28 UTC,0,0x40000000030ca222104411041022110810641102008020c20822084c1021110a,Normal,0x6e359fedb978d592e606eb103cf74c7c1b5eea21,Breed Ballon Furball
11228248,0.02000,0.02000,0.00000,0000,0,55,42,32,TungFuly - 05,2022-02-25 03:54:37 UTC,0,0x400000001e20c224084410ca1023090210812908008020080822088210240902,Curly,0x10c6d21f08cd3a11c9416566c9570a7a270611ed,Axie #11228248
11228251,0.02000,0.02000,0.00000,0000,0,55,43,31,TungFuly - 05,2022-02-25 03:59:40 UTC,0,0x400000001e18c241104411041024294a10842144008020080822088210240846,Curly,0x10c6d21f08cd3a11c9416566c9570a7a270611ed,Axie #11228251
11228252,0.02000,0.02000,0.00000,0000,0,55,43,31,TungFuly - 05,2022-02-25 04:00:22 UTC,0,0x400000001e306222104410421024200210640944008430080822088c10211902,Curly,0x10c6d21f08cd3a11c9416566c9570a7a270611ed,Axie #11228252
11228245,0.02000,0.02000,0.00000,0000,0,55,42,32,TungFuly - 05,2022-02-25 03:52:49 UTC,0,0x400000000879e202084329041024290810840908008020080822094a10240944,Normal,0x10c6d21f08cd3a11c9416566c9570a7a270611ed,Axie #11228245
11093448,0.02000,0.02000,0.00000,0000,0,55,43,31,Indiolente,2022-02-05 05:40:52 UTC,0,0x4000000003848022104109041024290a10a1088a008020080824108210220902,Normal,0x76104194b33576d9b669d2e774302d75b36735e2,Axie #11093448
11203912,0.02213,0.02213,0.00000,0000,0,55,43,31,Byron Singzon,2022-02-20 09:17:03 UTC,0,0x400000001e0c633310410904102428ca10241802008020080822088210242804,Curly,0x81aeff792dd80eeb45d4832ab6e854b3e83a8e65,Axie #11203912
11182954,0.02400,0.02400,0.00000,0000,1,55,43,31,Tesla | Kraken ,2022-02-16 09:12:32 UTC,0,0x40000000030c3332104209021024290a106419060080200808251006102408ca,Normal,0x679b5956f6704bbfa40c8b6f668312dffa5b8788,1
11195597,0.02500,0.02500,0.00000,0000,3,55,42,32,KML Crypto Gaming,2022-02-18 13:51:37 UTC,3,0x400000000318a032084428c41024208210822888008020080822088210240902,Normal,0xbf34fda110cf97ca4df31d13bfc4e3f5179bd59b,:)
11227949,0.02500,0.02500,0.00000,0000,3,55,43,31,Lunacian #4,2022-02-25 02:08:49 UTC,0,0x400000000820c344104210041024290210c40908008020080822080a10240902,Normal,0xff8210d94c0c19e3f05c845d5b74c6758948cd97,Axie #11227949
11331672,0.02500,0.02500,0.00000,0000,1,55,42,32,Magical Mystic Gnolls,2022-05-16 11:37:25 UTC,0,0x400000000c303032084410c410240902108419080080204c0822088610240902,Normal,0x0209b2f86dfcab7a13b85077e1e84bfecc7c0712,Axie #11331672
11024007,0.02900,0.02900,0.00000,0000,2,55,43,31,Eg,2022-01-28 19:03:14 UTC,1,0x4000000006208101104411441022080410602102008020cc082130821024094c,Normal,0xf9a896407ff8ce579048053b916f4d83aa3800a9,Disabler midline meta
