id,currentPrice,basePrice,endedPrice,duration,breedCount,speed,hp,morale,ownerProfile,birthDate,transferHistory,genes,bodyShape,owner,name
10994545,0.02977,0.05000,0.02500,4320,4,55,43,31,twitter/mlazos7,2022-01-26 03:37:07 UTC,0,0x400000000c788440104410821024210810c41906008020080822080a10242102,Normal,0x404c868b2cc0cc84b3c7867d3696ee69b9520efc,Máx🔝
11170893,0.03000,0.03000,0.00000,0000,0,55,43,31,FIDE PPL,2022-02-14 13:19:57 UTC,3,0x400000000a30602210a5204a102408c810641906008028080822288210232902,Normal,0x307fec38b8074605db995b43b5d6e84ec07d72bb,SUPER RUSH!!
11138853,0.03000,0.03000,0.00000,0000,3,55,43,31,FIDE PPL,2022-02-10 09:03:20 UTC,0,0x400000001e19e1121044114a1024210a106421060081214c0822088210222102,Curly,0x307fec38b8074605db995b43b5d6e84ec07d72bb,Akapellah
11306510,0.03330,0.03330,0.00000,0000,2,55,43,31,v2 never die,2022-04-18 09:57:23 UTC,0,0x4000000021183323104211041023110810842108008020080822088210240902,WetDog,0x740c82d39fd2a900f0385063323d4e54578d3562,❄️🍸ꜱᴘ55🍸❄️
11039287,0.04000,0.04000,0.00000,0000,0,55,43,31,UBadBoyXP,2022-01-30 07:25:14 UTC,0,0x400000000330600210441048102308c4108409020080210a082308cc10231902,Normal,0x6f305046bceba2ce28900e8edcaa28727d1e19cc,Blanquito
11004745,0.05000,0.05000,0.00000,0000,3,55,43,31,Cirborges13 Glau ,2022-01-26 22:52:13 UTC,0,0x400000000319e333104129041024280a102408cc008020080822104c10240902,Normal,0xbf6016610d3aa78f9003a124580d49ca861988ec,.....
11282400,0.05000,0.05000,0.00000,0000,0,55,42,32,Lachy - Team L,2022-03-16 06:17:40 UTC,0,0x400000000620c330088109041024208210842106008020080822090210231902,Normal,0xd4a766b118b57f829b9ef68164939377182c2f6f,Axie #11282400
11037522,0.05000,0.05000,0.00000,0000,2,55,43,31,boycham | A8,2022-01-30 02:11:26 UTC,0,0x400000000c28830210a411041024090210a230c4008228080822084c10241102,Normal,0xd1664a37c4b3151e0a6ecf3dcb4a70d384bf57fd,Axie #11037522
10996557,0.05000,0.05000,0.00000,0000,0,55,43,31,Nyomoy,2022-01-26 07:19:13 UTC,0,0x400000000678630010441148102229021024090200800808082311441024080c,Normal,0xf3b143e9a4ac5dec8d51de70d9417ef793130df2,Axie #10996557
11211447,0.05000,0.05000,0.00000,0000,2,55,41,33,LDrachen,2022-02-21 19:42:13 UTC,0,0x4000000006183000082229041024290208442046008020080822090410223102,Normal,0x3260f11ad4f70933761ee22485ffd70c2e49d342,#11211447
10789304,0.05000,0.05000,0.00000,0000,4,55,43,31,JMBO#29 MJ,2022-01-10 14:55:41 UTC,0,0x40000000067832201044110a1024214210652948008418c80824188210240904,Normal,0xcc43e5ab45182307697b53d45d882d58d468920b,MJ POCKY
11144012,0.05000,0.05000,0.00000,0000,0,55,43,31,Noypi.ph,2022-02-10 23:29:08 UTC,0,0x4000000003043023104429041024210810640908008020080821300c10201102,Normal,0x2f6f92305ecd8d7c1aa94cec6223ec3c2bffa7f9,Axie #11144012
11048222,0.05000,0.05000,0.00000,0000,5,55,43,31,Noypi.ph,2022-01-31 04:46:50 UTC,0,0x400000000679e241104228881024210a10622106008530080822088210240902,Normal,0x2f6f92305ecd8d7c1aa94cec6223ec3c2bffa7f9,Axie #11048222
11052163,0.05000,0.05000,0.00000,0000,5,55,43,31,Edcel,2022-01-31 14:34:41 UTC,0,0x400000001e2863231081210410242108106421060084290a0824284c10250902,Curly,0x4a1f66f8958296aa1ef64d2337212b302c16386c,Axie #11052163
11066291,0.05000,0.05000,0.00000,0000,1,55,43,31,Magical Mystic Gnolls,2022-02-02 08:46:55 UTC,0,0x400000000328332310a3090a1022110810a4310200802008082209461023114a,Normal,0x0209b2f86dfcab7a13b85077e1e84bfecc7c0712,Get nyo na be4 ichange my mind
11330059,0.05000,0.05000,0.00000,0000,1,55,43,31,Magical Mystic Gnolls,2022-05-13 18:45:25 UTC,0,0x40000000030c832310a4110a1024208410a31108008020ca0825188210240902,Normal,0x0209b2f86dfcab7a13b85077e1e84bfecc7c0712,Axie #11330059
11011770,0.08000,0.08000,0.00000,0000,4,55,43,31,Checho_0C,2022-01-27 15:36:28 UTC,0,0x400000001e18c2021043204810240908108420420080204a0822088210240902,Curly,0x7d1b209e9dafc8f6cd87c042ca2ae9a945074a10,Axie #11011770
10900660,0.08000,0.08000,0.00000,0000,5,55,42,32,<#FFC>sashimismug丨Youtube/元宇宙先锋队,2022-01-18 21:41:12 UTC,0,0x400000000c18632010412104102321080824190600802102082208ca10240902,Normal,0x6db9c727132d343fe3179d6e26c8fbbcaa264a29,Slithice
11314961,0.08000,0.08000,0.00000,0000,3,55,43,31,Magical Mystic Gnolls,2022-04-27 15:22:58 UTC,0,0x400000000c20c003104211081024090810840902008020080822088210240902,Normal,0x0209b2f86dfcab7a13b85077e1e84bfecc7c0712,Axie #11314961
11170857,0.08000,0.08000,0.00000,0000,2,55,43,31,Magical Mystic Gnolls,2022-02-14 13:10:50 UTC,0,0x400000000830c020104410c81024280210802102008230480822090810240902,Normal,0x0209b2f86dfcab7a13b85077e1e84bfecc7c0712,S&L
11282199,0.10000,0.10000,0.00000,0000,2,55,43,31,Christian,2022-03-16 04:02:58 UTC,0,0x4000000008208333104409041024210210651902008020080822088210240902,Normal,0x5683d4810d90ef19f5ad7e25d00c24f473f5428b,#11282199
10896094,0.10000,0.02750,0.10000,0240,3,55,43,31,MRCVL | Jojo,2022-01-18 14:13:34 UTC,0,0x400000000c306330104521441025094a102408440084110c082209061021084c,Normal,0xa8a87ccb22615b5e8a2746f6dd9ca4036dc673b5,Axie #10896094
11855975,0.10000,0.10000,0.00000,0000,0,55,43,31,AKYYY,2023-08-24 16:27:51 UTC,0,0x400000002128832310a01002102121081064094a00842946082208821025300a,WetDog,0x5cf34bd78eda29803eebd20eb7b2395244cc1155,Axie #11855975
11034588,0.50000,0.50000,0.00000,0000,3,55,42,32,r2ro,2022-01-29 17:56:10 UTC,3,0x40000000010460330822208410240908106418ca00802008082430821024080c,Fuzzy,0xbb549aba2384e222f7d13eef191d51debfd38d76,Meta energy +fear
11207349,0.50000,0.50000,0.00000,0000,0,55,43,31,FuryGZ,2022-02-21 02:34:45 UTC,0,0x40000000010c332310402048102408c810640902008020080822208210223102,Fuzzy,0x67dc13c9a5b869ee4a2c46a4f4ffe77833ae3845,Axie #11207349
11141796,0.50000,0.50000,0.00000,0000,3,55,43,31,New4in #25232647,2022-02-10 18:30:09 UTC,1,0x400000001e788333104410041024210810641906008020080822088210240902,Curly,0x5b120342d761bfd0843b42315fbdf355b79e2b92,Axie #11141796
11093336,0.50000,0.50000,0.00000,0000,4,55,43,31,BrandonAlej0,2022-02-05 05:38:46 UTC,0,0x40000000080c823210441084102428041024090c008020840822088210240902,Normal,0x5f1b9d626dc9e093384829b467daaeec7449c75e,Axie #11093336
11103783,0.50000,0.50000,0.00000,0000,3,55,43,31,William #25653427,2022-02-06 04:32:37 UTC,2,0x4000000008208000104410881024210810640902008021020822088210223102,Normal,0xf96f8c2bb3f244222a7e15bb639d1907476fc23a,Cimo
10848856,0.50000,0.50000,0.00000,0000,3,55,43,31,Magical Mystic Gnolls,2022-01-14 18:18:03 UTC,0,0x400000000304803010441042102421081023080c008428040821188210240902,Normal,0x0209b2f86dfcab7a13b85077e1e84bfecc7c0712,Baby Mine
10793497,2.00000,2.00000,0.00000,0000,0,55,43,31,1,2022-01-10 21:34:08 UTC,3,0x400000000c78a2001024100210242084106508ca0080200808233044102408ca,Normal,0x36c26af4b580c34646a9b74037c7013d9ed1892f, #10793497
